id;att_org_id;name;reg_num;factory_num;fac_ids;si_err
48;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;157413;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
53;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;162113;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
58;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;197114;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
63;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;202515;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
76;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150212;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
116;0;Калибратор портативный АТ01m;68168-17;9037;7;±2 %
123;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;7;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
138;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;7;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
151;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;287018;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
167;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150201;7;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
174;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;7;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
189;0;Термоанемометр ТТМ-2-04;44377-10;2852;7;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
203;0;"Калибратор акустический ""Защита-К""";47740-11;122616;7;"±0,4%; ±0,6%"
13;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;8;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
28;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;8;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
49;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;157413;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
54;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;162113;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
59;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;197114;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
64;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;202515;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
77;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150212;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
117;0;Калибратор портативный АТ01m;68168-17;9037;8;±2 %
124;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;8;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
139;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;8;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
152;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;287018;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
168;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150201;8;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
175;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;8;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
190;0;Термоанемометр ТТМ-2-04;44377-10;2852;8;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
204;0;"Калибратор акустический ""Защита-К""";47740-11;122616;8;"±0,4%; ±0,6%"
14;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;9;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
29;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;9;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
40;0;Измеритель параметров электрического и магнитного полей трехкомпонентный В/Е-МЕТР-АТ-003;42464-09;150513;9;±15%
41;0;Измеритель параметров электрического и магнитного полей трехкомпонентный В/Е-МЕТР-АТ-003;42464-09;177914;9;±15%
42;0;Измеритель параметров электрического и магнитного полей трехкомпонентный В/Е-МЕТР-АТ-003;42464-09;142913;9;±15 %
43;0;Измеритель напряженности электростатического поля СТ-01;17400-98;231813;9;±15%
44;0;Измеритель напряженности электростатического поля СТ-01;17400-98;227113;9;±15%
125;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;9;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
140;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;9;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
176;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;9;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
191;0;Термоанемометр ТТМ-2-04;44377-10;2852;9;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
15;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;10;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
30;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;10;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
81;0;Дозиметр ДКГ-07Д («ДРОЗД»);27537-04;7890;10;±15
126;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;10;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
141;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;10;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
177;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;10;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
192;0;Термоанемометр ТТМ-2-04;44377-10;2852;10;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
1;0;Прибор комбинированный «ТКА-ПКМ» (63);24248-09;63 244;11;±8%
3;0;Прибор комбинированный «ТКА-ПКМ» (61);24248-09;61 243;11;±8%
5;0;Прибор комбинированный «ТКА-ПКМ» (63);24248-09;63 245;11;±8%
